Entity,Code,Year,Prevalence of current tobacco use (% of adults),Population
Afghanistan,AFG,2010,29.1,28284088
Albania,ALB,2010,28.0,2928730
Algeria,DZA,2010,21.5,36188236
Andorra,AND,2010,34.0,80726
Argentina,ARG,2010,28.9,41288694
Armenia,ARM,2010,28.6,2931083
Australia,AUS,2010,18.2,22141583
Austria,AUT,2010,37.1,8365087
Azerbaijan,AZE,2010,26.2,9146852
Bahamas,BHS,2010,10.7,367482
Bahrain,BHR,2010,18.1,1213250
Bangladesh,BGD,2010,44.0,152201977
Barbados,BRB,2010,9.2,275250
Belarus,BLR,2010,35.8,9490752
Belgium,BEL,2010,28.0,10936620
Belize,BLZ,2010,11.3,320256
Benin,BEN,2010,10.7,9797488
Bolivia,BOL,2010,19.5,10182345
Bosnia and Herzegovina,BIH,2010,40.3,3811480
Botswana,BWA,2010,24.8,2033110
Brazil,BRA,2010,17.4,193701931
Brunei,BRN,2010,16.4,392340
Bulgaria,BGR,2010,42.9,7437594
Burkina Faso,BFA,2010,20.5,16176504
Burundi,BDI,2010,16.6,9376447
Cambodia,KHM,2010,30.1,14500732
Cameroon,CMR,2010,9.7,19668064
Canada,CAN,2010,19.3,34196901
Cape Verde,CPV,2010,15.2,509794
Chad,TCD,2010,10.7,12312582
Chile,CHL,2010,37.1,17181462
China,CHN,2010,26.2,1351561511
Colombia,COL,2010,11.4,44777325
Comoros,COM,2010,27.7,654845
Congo,COG,2010,12.8,4462303
Costa Rica,CRI,2010,12.6,4555965
Cote d'Ivoire,CIV,2010,13.2,22488068
Croatia,HRV,2010,35.4,4301152
Cuba,CUB,2010,27.0,11297413
Cyprus,CYP,2010,37.7,1127825
Czechia,CZE,2010,32.3,10464035
Democratic Republic of Congo,COD,2010,15.4,68563037
Denmark,DNK,2010,25.5,5547866
Dominican Republic,DOM,2010,13.9,9820181
East Timor,TLS,2010,46.0,1084687
Ecuador,ECU,2010,14.5,15076695
Egypt,EGY,2010,24.3,89196070
El Salvador,SLV,2010,11.3,6068252
Eritrea,ERI,2010,10.0,2945185
Estonia,EST,2010,37.2,1331450
Eswatini,SWZ,2010,10.5,1111650
Ethiopia,ETH,2010,5.9,90538520
Fiji,FJI,2010,27.4,910426
Finland,FIN,2010,27.8,5363347
France,FRA,2010,33.8,63417366
Gambia,GMB,2010,15.8,1926635
Georgia,GEO,2010,32.2,3895933
Germany,DEU,2010,28.3,80830917
Ghana,GHA,2010,4.9,25475001
Greece,GRC,2010,42.9,11124665
Guatemala,GTM,2010,12.5,14500117
Guinea-Bissau,GNB,2010,12.7,1566350
Guyana,GUY,2010,19.1,749258
Haiti,HTI,2010,9.7,9803299
High-income countries,,2010,27.464682,1176862152
Hungary,HUN,2010,34.6,9979129
Iceland,ISL,2010,19.1,318163
India,IND,2010,38.1,1243481564
Indonesia,IDN,2010,36.3,246305326
Iran,IRN,2010,17.0,77420852
Iraq,IRQ,2010,19.9,31045365
Ireland,IRL,2010,27.1,4559083
Israel,ISR,2010,25.9,7336737
Italy,ITA,2010,24.5,60164212
Jamaica,JAM,2010,12.8,2748573
Japan,JPN,2010,25.8,128185273
Jordan,JOR,2010,32.6,7297045
Kazakhstan,KAZ,2010,28.1,16836809
Kenya,KEN,2010,14.7,41598570
Kiribati,KIR,2010,52.7,108717
Kuwait,KWT,2010,18.9,2943372
Kyrgyzstan,KGZ,2010,29.4,5491763
Laos,LAO,2010,40.5,6334198
Latvia,LVA,2010,40.1,2097834
Lebanon,LBN,2010,39.1,5041290
Lesotho,LSO,2010,27.2,1996257
Liberia,LBR,2010,11.5,4058897
Lithuania,LTU,2010,36.4,3097719
Low-income countries,,2010,16.304663,520054114
Lower-middle-income countries,,2010,31.551897,2707862957
Luxembourg,LUX,2010,25.6,507418
Madagascar,MDG,2010,35.4,22183343
Malawi,MWI,2010,16.0,14826466
Malaysia,MYS,2010,25.6,28655771
Maldives,MDV,2010,30.6,360801
Mali,MLI,2010,11.6,15945201
Malta,MLT,2010,28.6,422652
Marshall Islands,MHL,2010,28.4,52065
Mauritania,MRT,2010,15.1,3390967
Mauritius,MUS,2010,22.7,1282710
Mexico,MEX,2010,17.7,113623897
Moldova,MDA,2010,26.9,3631993
Mongolia,MNG,2010,31.6,2701738
Montenegro,MNE,2010,34.9,632090
Morocco,MAR,2010,18.1,32467008
Mozambique,MOZ,2010,20.5,22999235
Myanmar,MMR,2010,54.6,49024376
Namibia,NAM,2010,19.5,2109813
Nauru,NRU,2010,55.5,10067
Nepal,NPL,2010,43.6,27341955
Netherlands,NLD,2010,27.5,16771232
New Zealand,NZL,2010,20.1,4347767
Niger,NER,2010,8.4,16548832
Nigeria,NGA,2010,5.9,166642887
North Korea,PRK,2010,22.3,24987258
Norway,NOR,2010,26.7,4889160
Oman,OMN,2010,7.7,2757451
Pakistan,PAK,2010,27.4,199239047
Palau,PLW,2010,21.4,18418
Panama,PAN,2010,8.2,3628537
Papua New Guinea,PNG,2010,45.9,7633523
Paraguay,PRY,2010,18.2,5737974
Peru,PER,2010,16.3,29086021
Philippines,PHL,2010,28.3,96337126
Poland,POL,2010,30.8,38095356
Portugal,PRT,2010,25.3,10578659
Qatar,QAT,2010,12.6,1709240
Romania,ROU,2010,31.4,20432576
Russia,RUS,2010,29.8,143934468
Rwanda,RWA,2010,18.5,10317559
Samoa,WSM,2010,31.4,193035
Sao Tome and Principe,STP,2010,6.6,181811
Saudi Arabia,SAU,2010,14.2,25157135
Senegal,SEN,2010,9.9,12635418
Serbia,SRB,2010,42.3,7395872
Seychelles,SYC,2010,24.0,94993
Sierra Leone,SLE,2010,24.3,6222715
Singapore,SGP,2010,16.5,5077019
Slovakia,SVK,2010,31.6,5391857
Slovenia,SVN,2010,23.5,2044612
Solomon Islands,SLB,2010,39.6,532977
South Africa,ZAF,2010,21.6,52344045
South Korea,KOR,2010,27.0,48769330
Spain,ESP,2010,31.9,46840470
Sri Lanka,LKA,2010,24.8,20879090
Sweden,SWE,2010,32.3,9378234
Switzerland,CHE,2010,26.9,7825751
Tanzania,TZA,2010,15.5,44758489
