Entity,Code,Year,Prevalence of current tobacco use (% of adults),Population
Afghanistan,AFG,2000,36.9,20130334
Afghanistan,AFG,2005,32.7,24404574
Afghanistan,AFG,2010,29.1,28284088
Afghanistan,AFG,2015,26.0,33831765
Afghanistan,AFG,2018,23.8,36743040
Afghanistan,AFG,2019,23.8,37856126
Afghanistan,AFG,2020,23.3,39068978
Albania,ALB,2000,35.0,3166147
Albania,ALB,2005,31.3,3076155
Albania,ALB,2010,28.0,2928730
Albania,ALB,2015,25.1,2898634
Albania,ALB,2018,23.0,2894231
Albania,ALB,2019,23.0,2885012
Albania,ALB,2020,22.4,2871951
Algeria,DZA,2000,22.2,30903895
Algeria,DZA,2005,21.8,33109258
Algeria,DZA,2010,21.5,36188236
Algeria,DZA,2015,21.1,40019528
Algeria,DZA,2018,21.0,42505033
Algeria,DZA,2019,21.0,43294550
Algeria,DZA,2020,21.0,44042093
Andorra,AND,2000,35.9,65703
Andorra,AND,2005,34.8,77436
Andorra,AND,2010,34.0,80726
Andorra,AND,2015,33.0,72194
Andorra,AND,2018,32.0,75182
Andorra,AND,2019,32.0,76491
Andorra,AND,2020,31.8,77398
Argentina,ARG,2000,34.0,37213985
Argentina,ARG,2005,31.5,39216787
Argentina,ARG,2010,28.9,41288694
Argentina,ARG,2015,26.6,43477009
Argentina,ARG,2018,24.9,44654876
Argentina,ARG,2019,24.9,44973468
Argentina,ARG,2020,24.5,45191960
Armenia,ARM,2000,32.0,3125630
Armenia,ARM,2005,30.3,3006360
Armenia,ARM,2010,28.6,2931083
Armenia,ARM,2015,26.9,2921179
Armenia,ARM,2018,25.8,2909970
Armenia,ARM,2019,25.8,2903975
Armenia,ARM,2020,25.5,2890894
Australia,AUS,2000,24.4,19132473
Australia,AUS,2005,21.1,20294490
Australia,AUS,2010,18.2,22141583
Australia,AUS,2015,15.7,23947998
Australia,AUS,2018,14.0,25119700
Australia,AUS,2019,14.0,25482714
Australia,AUS,2020,13.6,25743787
Austria,AUT,2000,52.3,8012929
Austria,AUT,2005,43.8,8229204
Austria,AUT,2010,37.1,8365087
Austria,AUT,2015,31.2,8644037
Austria,AUT,2018,27.1,8841652
Austria,AUT,2019,27.1,8880875
Austria,AUT,2020,26.4,8921402
Azerbaijan,AZE,2000,28.7,8174783
Azerbaijan,AZE,2005,27.6,8597248
Azerbaijan,AZE,2010,26.2,9146852
Azerbaijan,AZE,2015,25.2,9752859
Azerbaijan,AZE,2018,24.2,10039778
Azerbaijan,AZE,2019,24.2,10110486
Azerbaijan,AZE,2020,24.0,10181736
Bahamas,BHS,2000,10.7,323846
Bahamas,BHS,2005,10.7,343905
Bahamas,BHS,2010,10.7,367482
Bahamas,BHS,2015,10.6,385355
Bahamas,BHS,2018,10.7,392718
Bahamas,BHS,2019,10.7,394684
Bahamas,BHS,2020,10.6,395874
Bahrain,BHR,2000,22.2,669590
Bahrain,BHR,2005,20.0,932619
Bahrain,BHR,2010,18.1,1213250
Bahrain,BHR,2015,16.4,1369656
Bahrain,BHR,2018,15.2,1497634
Bahrain,BHR,2019,15.2,1485675
Bahrain,BHR,2020,14.9,1483081
Bangladesh,BGD,2000,57.6,134544303
Bangladesh,BGD,2005,50.3,144715789
Bangladesh,BGD,2010,44.0,152201977
Bangladesh,BGD,2015,38.9,159383180
Bangladesh,BGD,2018,35.2,163523108
Bangladesh,BGD,2019,35.2,164913060
Bangladesh,BGD,2020,34.7,166298024
Barbados,BRB,2000,10.2,262069
Barbados,BRB,2005,9.7,268719
Barbados,BRB,2010,9.2,275250
Barbados,BRB,2015,8.8,278997
Barbados,BRB,2018,8.5,280715
Barbados,BRB,2019,8.5,281216
Barbados,BRB,2020,8.5,281705
Belarus,BLR,2000,41.8,9991311
Belarus,BLR,2005,38.8,9667831
Belarus,BLR,2010,35.8,9490752
Belarus,BLR,2015,33.0,9487288
Belarus,BLR,2018,30.9,9480033
Belarus,BLR,2019,30.9,9435414
Belarus,BLR,2020,30.5,9350943
Belgium,BEL,2000,33.4,10251719
Belgium,BEL,2005,30.5,10478883
Belgium,BEL,2010,28.0,10936620
Belgium,BEL,2015,25.7,11275332
Belgium,BEL,2018,23.9,11428609
Belgium,BEL,2019,23.9,11490622
Belgium,BEL,2020,23.4,11540103
Belize,BLZ,2000,15.0,240809
Belize,BLZ,2005,13.0,279746
Belize,BLZ,2010,11.3,320256
Belize,BLZ,2015,9.7,356340
Belize,BLZ,2018,8.8,380232
Belize,BLZ,2019,8.8,385833
Belize,BLZ,2020,8.5,390819
Benin,BEN,2000,16.7,7221618
Benin,BEN,2005,13.4,8426146
Benin,BEN,2010,10.7,9797488
Benin,BEN,2015,8.6,11360681
Benin,BEN,2018,7.2,12383349
Benin,BEN,2019,7.2,12726761
Benin,BEN,2020,6.9,13070170
Bolivia,BOL,2000,32.1,8606331
Bolivia,BOL,2005,24.9,9360758
Bolivia,BOL,2010,19.5,10182345
Bolivia,BOL,2015,15.6,11014707
Bolivia,BOL,2018,13.2,11508370
Bolivia,BOL,2019,13.2,11671386
Bolivia,BOL,2020,12.7,11816300
Bosnia and Herzegovina,BIH,2000,46.6,4159785
Bosnia and Herzegovina,BIH,2005,43.4,4096494
Bosnia and Herzegovina,BIH,2010,40.3,3811480
Bosnia and Herzegovina,BIH,2015,37.7,3518541
Bosnia and Herzegovina,BIH,2018,35.5,3386999
Bosnia and Herzegovina,BIH,2019,35.5,3345534
Bosnia and Herzegovina,BIH,2020,35.0,3299352
Botswana,BWA,2000,33.2,1677384
Botswana,BWA,2005,28.5,1839881
Botswana,BWA,2010,24.8,2033110
Botswana,BWA,2015,21.7,2203276
Botswana,BWA,2018,19.8,2299148
Botswana,BWA,2019,19.8,2332081
Botswana,BWA,2020,19.4,2365895
Brazil,BRA,2000,23.8,174018276
Brazil,BRA,2005,20.4,184688101
Brazil,BRA,2010,17.4,193701931
Brazil,BRA,2015,14.9,201675534
Brazil,BRA,2018,13.2,206107265
Brazil,BRA,2019,13.2,207455459
Brazil,BRA,2020,12.8,208660845
Brunei,BRN,2000,16.7,326428
Brunei,BRN,2005,16.5,358930
Brunei,BRN,2010,16.4,392340
Brunei,BRN,2015,16.3,422224
Brunei,BRN,2018,16.2,437813
Brunei,BRN,2019,16.2,442687
Brunei,BRN,2020,16.2,447412
Bulgaria,BGR,2000,47.5,8000519
Bulgaria,BGR,2005,45.0,7695047
Bulgaria,BGR,2010,42.9,7437594
Bulgaria,BGR,2015,40.7,7177516
Bulgaria,BGR,2018,39.4,7024746
Bulgaria,BGR,2019,39.4,6975467
Bulgaria,BGR,2020,39.0,6933654
Burkina Faso,BFA,2000,29.8,11925548
Burkina Faso,BFA,2005,24.7,13932127
Burkina Faso,BFA,2010,20.5,16176504
Burkina Faso,BFA,2015,17.0,18777488
Burkina Faso,BFA,2018,14.9,20438288
Burkina Faso,BFA,2019,14.9,20961954
Burkina Faso,BFA,2020,14.3,21478692
Burundi,BDI,2000,24.0,6470196
Burundi,BDI,2005,19.8,7587304
Burundi,BDI,2010,16.6,9376447
Burundi,BDI,2015,13.9,11047580
Burundi,BDI,2018,12.2,11859444
Burundi,BDI,2019,12.2,12255339
Burundi,BDI,2020,11.8,12617042
Cambodia,KHM,2000,42.3,12462343
Cambodia,KHM,2005,36.0,13439204
Cambodia,KHM,2010,30.1,14500732
Cambodia,KHM,2015,25.2,15623253
Cambodia,KHM,2018,21.9,16274521
Cambodia,KHM,2019,21.9,16481304
Cambodia,KHM,2020,21.1,16725482
Cameroon,CMR,2000,12.8,14912633
Cameroon,CMR,2005,11.2,17074598
Cameroon,CMR,2010,9.7,19668064
Cameroon,CMR,2015,8.4,22763419
Cameroon,CMR,2018,7.5,24806379
Cameroon,CMR,2019,7.5,25506096
Cameroon,CMR,2020,7.3,26210566
Canada,CAN,2000,28.4,30891800
Canada,CAN,2005,23.3,32440173
Canada,CAN,2010,19.3,34196901
Canada,CAN,2015,15.8,35962236
Canada,CAN,2018,13.6,37294997
Canada,CAN,2019,13.6,37782931
Canada,CAN,2020,13.0,38171901
Cape Verde,CPV,2000,20.6,453334
Cape Verde,CPV,2005,17.8,485127
Cape Verde,CPV,2010,15.2,509794
Cape Verde,CPV,2015,13.1,512405
Cape Verde,CPV,2018,11.7,513417
Cape Verde,CPV,2019,11.7,514116
Cape Verde,CPV,2020,11.4,514684
Chad,TCD,2000,13.9,8512092
Chad,TCD,2005,12.2,10328095
Chad,TCD,2010,10.7,12312582
Chad,TCD,2015,9.4,14647625
Chad,TCD,2018,8.5,16156535
Chad,TCD,2019,8.5,16685223
Chad,TCD,2020,8.3,17224685
Chile,CHL,2000,46.9,15503637
Chile,CHL,2005,41.7,16348781
Chile,CHL,2010,37.1,17181462
Chile,CHL,2015,32.9,18047628
Chile,CHL,2018,29.9,18893186
Chile,CHL,2019,29.9,19197747
Chile,CHL,2020,29.2,19370619
China,CHN,2000,26.7,1269581164
China,CHN,2005,26.6,1310027138
China,CHN,2010,26.2,1351561511
China,CHN,2015,25.9,1396134164
China,CHN,2018,25.7,1419008963
China,CHN,2019,25.7,1423520354
China,CHN,2020,25.6,1426106083
