Entity,Code,Year,"Daily smoking prevalence - both (IHME, GHDx (2012))",Population
Afghanistan,AFG,1980,10.4,13169312
Afghanistan,AFG,1981,10.5,11937587
Afghanistan,AFG,1982,10.5,10991382
Afghanistan,AFG,1983,10.5,10917986
Afghanistan,AFG,1984,10.6,11190220
Afghanistan,AFG,1985,10.6,11426855
Afghanistan,AFG,1986,10.6,11420074
Afghanistan,AFG,1987,10.7,11387824
Afghanistan,AFG,1988,10.7,11523299
Afghanistan,AFG,1989,10.8,11874088
Afghanistan,AFG,1990,10.8,12045664
Afghanistan,AFG,1991,10.9,12238879
Afghanistan,AFG,1992,11.0,13278982
Afghanistan,AFG,1993,11.1,14943174
Afghanistan,AFG,1994,11.2,16250799
Afghanistan,AFG,1995,11.3,17065836
Afghanistan,AFG,1996,11.4,17763265
Afghanistan,AFG,1997,11.6,18452100
Afghanistan,AFG,1998,11.7,19159996
Afghanistan,AFG,1999,11.8,19887791
Afghanistan,AFG,2000,11.8,20130334
Afghanistan,AFG,2001,11.8,20284303
Afghanistan,AFG,2002,11.9,21378123
Afghanistan,AFG,2003,11.9,22733054
Afghanistan,AFG,2004,11.9,23560656
Afghanistan,AFG,2005,11.9,24404574
Afghanistan,AFG,2006,12.0,25424100
Afghanistan,AFG,2007,12.0,25909852
Afghanistan,AFG,2008,12.0,26482629
Afghanistan,AFG,2009,12.0,27466101
Afghanistan,AFG,2010,11.9,28284088
Afghanistan,AFG,2011,11.9,29347709
Afghanistan,AFG,2012,11.9,30560036
Albania,ALB,1980,21.299999,2735423
Albania,ALB,1981,21.299999,2790413
Albania,ALB,1982,21.299999,2846910
Albania,ALB,1983,21.299999,2905129
Albania,ALB,1984,21.299999,2964961
Albania,ALB,1985,21.299999,3026245
Albania,ALB,1986,21.299999,3087659
Albania,ALB,1987,21.299999,3148843
Albania,ALB,1988,21.299999,3212924
Albania,ALB,1989,21.200001,3260370
Albania,ALB,1990,21.200001,3277964
Albania,ALB,1991,21.299999,3282607
Albania,ALB,1992,21.299999,3282506
Albania,ALB,1993,21.299999,3277830
Albania,ALB,1994,21.4,3269417
Albania,ALB,1995,21.299999,3258571
Albania,ALB,1996,21.200001,3245681
Albania,ALB,1997,20.9,3229665
Albania,ALB,1998,20.6,3210133
Albania,ALB,1999,20.299999,3188596
Albania,ALB,2000,20.0,3166147
Albania,ALB,2001,19.700001,3147941
Albania,ALB,2002,19.4,3134094
Albania,ALB,2003,18.700001,3118092
Albania,ALB,2004,18.1,3098663
Albania,ALB,2005,18.200001,3076155
Albania,ALB,2006,18.4,3050804
Albania,ALB,2007,18.700001,3022887
Albania,ALB,2008,19.1,2992933
